vendor_id,account_number,ifsc,status,added_on,added_via,verified_by,verified_on,settled_payout_count,last_settled_on,is_primary
VEND0038,833102898423,UTIB0049809,active,2025-02-17,portal,onboarding_kyc,2025-02-17,21,2026-06-03,False
VEND0039,152706552228,UTIB0325302,active,2023-07-28,onboarding,onboarding_kyc,2023-07-28,50,2026-06-25,True
VEND0040,255744150529,UTIB0549087,active,2022-06-22,onboarding,onboarding_kyc,2022-06-22,22,2026-06-10,True
VEND0040,676911680261,AXIS0756234,active,2023-08-28,portal,onboarding_kyc,2023-08-28,26,2026-04-24,False
VEND0041,442513209456,KKBK0958715,active,2024-08-16,onboarding,onboarding_kyc,2024-08-16,19,2026-06-24,True
VEND0042,173656937418,UTIB0955459,active,2024-01-16,onboarding,onboarding_kyc,2024-01-16,49,2026-05-22,True
VEND0042,199334365254,UTIB0247963,active,2023-09-30,portal,penny_drop,2023-10-02,11,2026-05-25,False
VEND0043,604750859543,HDFC0688020,active,2023-07-01,onboarding,onboarding_kyc,2023-07-01,21,2026-05-17,True
VEND0044,626029368517,HDFC0290465,active,2022-06-16,onboarding,onboarding_kyc,2022-06-16,21,2026-05-23,True
VEND0044,416961125393,SBIN0980865,active,2025-02-22,portal,onboarding_kyc,2025-02-22,24,2026-04-27,False
VEND0045,064987339232,PUNB0735206,active,2023-12-09,onboarding,onboarding_kyc,2023-12-09,30,2026-05-31,True
VEND0046,857502284502,SBIN0475010,active,2024-12-17,onboarding,onboarding_kyc,2024-12-17,13,2026-06-23,True
VEND0047,282156739471,ICIC0025779,active,2023-08-26,onboarding,onboarding_kyc,2023-08-26,26,2026-06-11,True
VEND0048,500742637533,KKBK0543441,active,2023-12-20,onboarding,onboarding_kyc,2023-12-20,60,2026-06-24,True
VEND0049,471861601243,HDFC0729949,active,2022-12-28,onboarding,onboarding_kyc,2022-12-28,50,2026-05-18,True
VEND0049,952445787356,PUNB0896012,active,2024-12-13,portal,onboarding_kyc,2024-12-13,28,2026-05-25,False
VEND0050,209239541748,SBIN0443667,active,2022-08-16,onboarding,onboarding_kyc,2022-08-16,14,2026-06-04,True
VEND0050,833102898423,UTIB0049809,active,2023-08-04,portal,onboarding_kyc,2023-08-04,29,2026-06-19,False
VEND0051,915128666489,UTIB0226376,active,2024-09-24,onboarding,onboarding_kyc,2024-09-24,26,2026-06-03,True
VEND0051,321861045427,AXIS0918013,active,2023-08-03,portal,onboarding_kyc,2023-08-03,28,2026-06-14,False
VEND0052,356456972379,PUNB0308715,active,2023-08-30,onboarding,onboarding_kyc,2023-08-30,22,2026-06-01,True
VEND0052,831246800856,ICIC0555192,active,2025-02-21,portal,onboarding_kyc,2025-02-21,25,2026-05-05,False
VEND0053,672999478668,ICIC0370199,active,2023-08-04,onboarding,onboarding_kyc,2023-08-04,39,2026-06-25,True
VEND0054,060961640091,HDFC0767577,active,2024-11-19,onboarding,onboarding_kyc,2024-11-19,29,2026-06-10,True
VEND0055,540341470860,HDFC0598886,active,2024-04-13,onboarding,onboarding_kyc,2024-04-13,67,2026-06-17,True
VEND0055,929860270863,HDFC0650870,active,2024-10-03,email_request,callback,2024-10-03,4,2026-02-01,False
VEND0056,088535545563,AXIS0131629,active,2023-02-28,onboarding,onboarding_kyc,2023-02-28,44,2026-06-04,True
VEND0057,150113423962,HDFC0081454,active,2022-11-20,onboarding,onboarding_kyc,2022-11-20,26,2026-05-27,True
VEND0058,198204135863,ICIC0116283,active,2022-12-19,onboarding,onboarding_kyc,2022-12-19,24,2026-05-23,True
VEND0058,676911680261,AXIS0756234,active,2024-03-25,portal,onboarding_kyc,2024-03-25,6,2026-05-17,False
VEND0059,851708588927,PUNB0321905,active,2025-03-22,onboarding,onboarding_kyc,2025-03-22,44,2026-05-30,True
VEND0059,831246800856,ICIC0555192,active,2025-06-28,portal,onboarding_kyc,2025-06-28,28,2026-06-12,False
VEND0060,626618654920,SBIN0528525,active,2023-12-01,onboarding,onboarding_kyc,2023-12-01,35,2026-06-02,True
VEND0061,049215013272,AXIS0294436,active,2024-04-05,onboarding,onboarding_kyc,2024-04-05,30,2026-05-26,True
VEND0061,531461190092,SBIN0361760,active,2023-09-28,portal,onboarding_kyc,2023-09-28,12,2026-04-21,False
VEND0062,208521876149,PUNB0192473,active,2023-04-21,onboarding,onboarding_kyc,2023-04-21,85,2026-05-22,True
VEND0062,506889554972,SBIN0143832,active,2025-05-07,phone_request,callback,2025-05-11,20,2026-03-08,False
VEND0062,416961125393,SBIN0980865,active,2024-11-09,portal,onboarding_kyc,2024-11-09,18,2026-06-16,False
VEND0063,223442226835,HDFC0562599,active,2024-07-01,onboarding,onboarding_kyc,2024-07-01,53,2026-05-24,True
VEND0063,245062334851,SBIN0820550,active,2023-10-04,portal,onboarding_kyc,2023-10-04,11,2026-04-16,False
VEND0064,444965259454,SBIN0501719,active,2023-09-07,onboarding,onboarding_kyc,2023-09-07,69,2026-05-29,True
VEND0065,287934898540,AXIS0160051,active,2023-05-18,onboarding,onboarding_kyc,2023-05-18,72,2026-06-23,True
VEND0066,913407982379,AXIS0558794,active,2024-03-18,onboarding,onboarding_kyc,2024-03-18,75,2026-06-09,True
VEND0067,375747675331,HDFC0368857,active,2026-06-12,onboarding,onboarding_kyc,2026-06-12,0,,True
VEND0068,601822530055,PUNB0738646,active,2022-02-26,onboarding,onboarding_kyc,2022-02-26,60,2026-06-16,True
VEND0069,564457292742,KKBK0139078,active,2022-06-11,onboarding,onboarding_kyc,2022-06-11,27,2026-06-12,True
VEND0069,149023760555,AXIS0978537,active,2025-08-09,phone_request,callback,2025-08-13,5,2026-04-20,False
VEND0069,731265816413,ICIC0476677,active,2025-06-29,portal,penny_drop,2025-06-29,0,2025-06-22,False
VEND0069,808408920957,AXIS0552142,active,2023-08-31,portal,onboarding_kyc,2023-08-31,23,2026-06-22,False
VEND0070,290585574581,HDFC0506053,active,2024-06-30,onboarding,onboarding_kyc,2024-06-30,15,2026-06-23,True
VEND0070,291658165368,KKBK0919298,active,2024-03-25,portal,callback,2024-03-29,2,2026-01-27,False
VEND0071,866899950058,SBIN0974461,active,2024-12-19,onboarding,onboarding_kyc,2024-12-19,9,2026-06-17,True
VEND0072,348686730003,ICIC0144195,active,2026-06-02,onboarding,onboarding_kyc,2026-06-02,0,,True
VEND0073,869593210134,UTIB0418165,active,2024-10-29,onboarding,onboarding_kyc,2024-10-29,47,2026-05-19,True
VEND0073,321861045427,AXIS0918013,active,2025-11-18,portal,onboarding_kyc,2025-11-18,18,2026-04-05,False
VEND0074,932911203830,UTIB0368742,active,2023-01-05,onboarding,onboarding_kyc,2023-01-05,12,2026-06-11,True
VEND0074,354320920680,ICIC0039660,active,2024-06-17,email_request,penny_drop,2024-06-20,16,2026-01-15,False
VEND0075,622529529938,SBIN0158623,active,2026-05-01,onboarding,onboarding_kyc,2026-05-01,0,,True
VEND0076,176351954882,HDFC0120980,active,2023-08-07,onboarding,onboarding_kyc,2023-08-07,86,2026-05-16,True
VEND0076,393258978258,PUNB0334730,active,2023-11-17,phone_request,callback,2023-11-17,14,2026-04-05,False
VEND0076,466151363363,ICIC0193175,active,2025-08-07,portal,onboarding_kyc,2025-08-07,17,2026-05-18,False
VEND0077,070210679631,SBIN0810950,active,2024-01-04,onboarding,onboarding_kyc,2024-01-04,84,2026-05-29,True
VEND0078,724376982755,HDFC0765792,active,2024-02-17,onboarding,onboarding_kyc,2024-02-17,88,2026-05-17,True
VEND0079,772180771036,SBIN0942849,active,2024-03-28,onboarding,onboarding_kyc,2024-03-28,19,2026-06-02,True
VEND0080,731450417819,PUNB0697652,active,2024-11-15,onboarding,onboarding_kyc,2024-11-15,54,2026-06-12,True
VEND0080,808408920957,AXIS0552142,active,2024-07-21,portal,onboarding_kyc,2024-07-21,11,2026-04-23,False
VEND0081,318349469026,HDFC0123072,active,2024-01-11,onboarding,onboarding_kyc,2024-01-11,8,2026-06-16,True
VEND0082,230423809994,KKBK0247566,active,2022-09-17,onboarding,onboarding_kyc,2022-09-17,35,2026-06-25,True
VEND0082,466151363363,ICIC0193175,active,2023-10-24,portal,onboarding_kyc,2023-10-24,24,2026-04-23,False
VEND0083,701229633622,HDFC0217040,active,2025-04-03,onboarding,onboarding_kyc,2025-04-03,53,2026-06-16,True
VEND0083,531461190092,SBIN0361760,active,2023-12-14,portal,onboarding_kyc,2023-12-14,11,2026-06-14,False
VEND0084,718559070833,PUNB0843240,active,2022-06-24,onboarding,onboarding_kyc,2022-06-24,50,2026-06-15,True
VEND0085,448487829986,PUNB0759138,active,2022-11-06,onboarding,onboarding_kyc,2022-11-06,65,2026-05-27,True
VEND0086,366176206688,AXIS0557068,active,2024-09-06,onboarding,onboarding_kyc,2024-09-06,88,2026-05-16,True
VEND0086,660966067315,SBIN0918760,active,2024-11-13,phone_request,penny_drop,2024-11-17,13,2026-04-04,False
VEND0086,815419491647,SBIN0090172,dormant,2025-07-24,portal,penny_drop,2025-07-24,0,2026-04-07,False
VEND0086,839487028210,SBIN0753798,active,2024-02-12,portal,onboarding_kyc,2024-02-12,7,2026-06-22,False
VEND0087,599186075827,PUNB0462640,active,2024-09-10,onboarding,onboarding_kyc,2024-09-10,37,2026-06-23,True
VEND0088,420887667037,PUNB0719765,active,2024-05-08,onboarding,onboarding_kyc,2024-05-08,12,2026-06-03,True
VEND0089,623574412812,ICIC0206696,active,2023-01-11,onboarding,onboarding_kyc,2023-01-11,47,2026-06-12,True
VEND0090,670340471319,KKBK0163104,active,2022-02-26,onboarding,onboarding_kyc,2022-02-26,21,2026-06-16,True
VEND0090,797297220779,UTIB0769473,active,2023-09-22,portal,onboarding_kyc,2023-09-22,10,2026-04-09,False
VEND0091,942425027746,ICIC0694325,active,2022-09-19,onboarding,onboarding_kyc,2022-09-19,43,2026-06-03,True
VEND0092,017561053720,UTIB0610215,active,2024-12-16,onboarding,onboarding_kyc,2024-12-16,34,2026-06-12,True
VEND0092,237977812271,KKBK0205993,active,2024-06-05,portal,onboarding_kyc,2024-06-05,5,2026-05-21,False
VEND0093,651972544795,ICIC0534254,active,2024-10-24,onboarding,onboarding_kyc,2024-10-24,35,2026-06-11,True
VEND0094,862175332628,PUNB0907573,active,2024-01-08,onboarding,onboarding_kyc,2024-01-08,38,2026-06-26,True
VEND0095,614833014503,AXIS0337970,active,2023-02-01,onboarding,onboarding_kyc,2023-02-01,51,2026-06-22,True
VEND0096,062683049907,UTIB0678365,active,2023-06-07,onboarding,onboarding_kyc,2023-06-07,10,2026-05-21,True
VEND0096,395047938969,ICIC0927239,active,2025-01-27,phone_request,penny_drop,2025-01-28,8,2026-06-18,False
VEND0097,123019365894,SBIN0789008,active,2024-04-16,onboarding,onboarding_kyc,2024-04-16,59,2026-05-16,True
VEND0097,065767608549,HDFC0432986,active,2023-08-23,email_request,penny_drop,2023-08-23,15,2026-03-30,False
VEND0098,004640139672,UTIB0699707,active,2023-02-19,onboarding,onboarding_kyc,2023-02-19,59,2026-06-27,True
VEND0098,848544743846,UTIB0138161,active,2024-10-01,portal,penny_drop,2024-10-02,17,2026-03-23,False
VEND0098,116313272528,AXIS0528440,active,2024-11-18,portal,penny_drop,2024-11-18,5,2026-03-05,False
VEND0099,408129006473,KKBK0065687,active,2024-03-14,onboarding,onboarding_kyc,2024-03-14,18,2026-06-13,True
VEND0100,139484930513,PUNB0838389,active,2025-01-25,onboarding,onboarding_kyc,2025-01-25,73,2026-06-18,True
VEND0101,413080121294,PUNB0164998,active,2025-04-02,onboarding,onboarding_kyc,2025-04-02,38,2026-06-22,True
VEND0102,475667222048,PUNB0485638,active,2022-12-07,onboarding,onboarding_kyc,2022-12-07,8,2026-06-06,True
VEND0102,138344160343,ICIC0881903,active,2024-08-10,email_request,callback,2024-08-10,7,2026-04-11,False
VEND0103,098967566423,KKBK0888259,active,2022-09-06,onboarding,onboarding_kyc,2022-09-06,57,2026-06-12,True
VEND0104,390731481665,HDFC0572175,active,2024-04-05,onboarding,onboarding_kyc,2024-04-05,86,2026-06-07,True
VEND0104,176231592113,SBIN0508855,active,2024-10-29,portal,penny_drop,2024-11-01,9,2026-05-27,False
VEND0105,233629613084,PUNB0188760,active,2022-03-25,onboarding,onboarding_kyc,2022-03-25,18,2026-06-09,True
VEND0105,935040243361,KKBK0430300,active,2023-07-18,phone_request,penny_drop,2023-07-20,17,2026-05-03,False
VEND0106,301135142077,AXIS0566034,active,2023-07-04,onboarding,onboarding_kyc,2023-07-04,19,2026-06-15,True
VEND0106,114790407260,ICIC0141832,active,2024-03-29,email_request,penny_drop,2024-04-01,20,2026-01-04,False
VEND0107,505579971532,PUNB0781713,active,2022-02-18,onboarding,onboarding_kyc,2022-02-18,11,2026-05-24,True
VEND0108,443326242473,PUNB0659811,active,2024-10-31,onboarding,onboarding_kyc,2024-10-31,84,2026-06-13,True
VEND0108,504855040899,PUNB0395262,active,2025-09-14,email_request,callback,2025-09-15,3,2026-02-04,False
VEND0108,433099111588,UTIB0435856,active,2024-09-15,portal,penny_drop,2024-09-15,3,2026-04-25,False
VEND0109,080443165892,KKBK0377094,active,2024-03-09,onboarding,onboarding_kyc,2024-03-09,28,2026-06-26,True
VEND0109,981943627376,SBIN0096913,active,2023-11-10,email_request,penny_drop,2023-11-12,14,2026-05-19,False
VEND0109,034366679529,KKBK0108958,active,2024-11-15,portal,onboarding_kyc,2024-11-15,9,2026-05-28,False
VEND0110,926841336891,KKBK0406499,active,2024-12-29,onboarding,onboarding_kyc,2024-12-29,43,2026-06-06,True
VEND0111,956951243781,SBIN0973543,active,2024-09-09,onboarding,onboarding_kyc,2024-09-09,16,2026-06-06,True
VEND0112,146182051005,ICIC0606756,active,2022-05-26,onboarding,onboarding_kyc,2022-05-26,48,2026-06-18,True
VEND0113,717916670401,SBIN0505189,active,2024-07-12,onboarding,onboarding_kyc,2024-07-12,53,2026-06-17,True
VEND0114,489644874754,PUNB0299213,active,2023-05-19,onboarding,onboarding_kyc,2023-05-19,54,2026-06-10,True
VEND0114,611697801824,HDFC0818220,active,2024-03-13,email_request,penny_drop,2024-03-16,6,2026-01-28,False
VEND0114,952445787356,PUNB0896012,active,2024-06-29,portal,onboarding_kyc,2024-06-29,2,2026-04-07,False
VEND0115,058712698907,AXIS0461033,active,2024-01-08,onboarding,onboarding_kyc,2024-01-08,60,2026-05-25,True
VEND0116,388859422792,AXIS0409284,active,2022-05-19,onboarding,onboarding_kyc,2022-05-19,53,2026-05-31,True
VEND0117,163732046545,AXIS0970254,active,2022-06-21,onboarding,onboarding_kyc,2022-06-21,40,2026-06-13,True
VEND0118,118175300849,PUNB0573599,active,2022-10-13,onboarding,onboarding_kyc,2022-10-13,79,2026-06-11,True
VEND0119,492338601332,HDFC0970820,active,2022-03-01,onboarding,onboarding_kyc,2022-03-01,78,2026-06-26,True
VEND0108,369734399664,KKBK0092136,active,2026-05-22,email_request,unverified,,0,,False
VEND0107,477917974120,SBIN0168062,active,2026-06-12,email_request,unverified,,0,,False
VEND0003,670023345234,ICIC0852145,active,2026-05-21,email_request,unverified,,0,,False
VEND0015,113814508826,AXIS0959543,active,2026-05-25,email_request,unverified,,0,,False
VEND0000,190062119052,UTIB0739342,active,2024-02-07,email_request,callback,2024-02-08,1,2026-02-15,False
VEND0075,120222170424,SBIN0515561,active,2024-04-21,email_request,callback,2024-04-22,12,2026-06-05,False
VEND0082,453587723882,ICIC0549807,active,2025-03-10,email_request,callback,2025-03-11,7,2026-03-19,False
VEND0019,852752632945,HDFC0032551,active,2024-01-23,email_request,callback,2024-01-24,2,2026-05-10,False
VEND0114,390662334112,KKBK0565978,active,2026-06-18,email_request,unverified,,0,,False
VEND0056,149220234071,ICIC0140820,active,2026-06-05,email_request,unverified,,0,,False
VEND0027,122211299962,AXIS0468553,active,2026-05-29,email_request,unverified,,0,,False
VEND0078,277331889622,UTIB0505978,active,2026-05-20,email_request,unverified,,0,,False
VEND0009,815725785561,SBIN0522276,active,2026-06-19,email_request,unverified,,0,,False
VEND0050,229969083522,SBIN0265321,active,2025-06-27,email_request,callback,2025-06-28,10,2026-03-01,False
VEND0075,458042604700,SBIN0562644,active,2024-01-04,email_request,callback,2024-01-05,6,2026-01-09,False
VEND0048,936953022902,UTIB0900352,active,2026-06-02,email_request,unverified,,0,,False
VEND0092,902966815101,KKBK0086090,active,2026-05-26,email_request,unverified,,0,,False
VEND0027,333694329333,UTIB0161598,active,2026-05-20,email_request,unverified,,0,,False
VEND0077,480487386636,UTIB0349882,active,2023-12-15,email_request,callback,2023-12-16,10,2026-02-14,False
VEND0115,469519453210,UTIB0568428,active,2026-05-23,email_request,unverified,,0,,False
VEND0103,025797833971,SBIN0393942,active,2026-06-17,email_request,unverified,,0,,False
VEND0006,749769069666,UTIB0103468,active,2025-04-21,email_request,callback,2025-04-22,2,2026-04-18,False
VEND0039,341995528757,PUNB0805806,active,2026-05-30,email_request,unverified,,0,,False
VEND0070,638370909599,HDFC0595748,active,2026-05-31,email_request,unverified,,0,,False
VEND0017,898385355914,SBIN0549888,active,2026-05-16,email_request,unverified,,0,,False
VEND0060,068905137983,SBIN0297535,active,2026-06-18,email_request,unverified,,0,,False
VEND0057,303516320384,ICIC0511082,active,2024-06-27,email_request,callback,2024-06-28,8,2026-03-31,False
VEND0108,989127517331,KKBK0591750,active,2026-05-25,email_request,unverified,,0,,False
VEND0102,492064175279,PUNB0016455,active,2026-06-05,email_request,unverified,,0,,False
VEND0111,042745690270,ICIC0596464,active,2023-08-12,email_request,callback,2023-08-13,5,2026-02-23,False
VEND0102,868563517006,SBIN0490780,active,2024-10-05,email_request,callback,2024-10-06,8,2026-01-05,False
VEND0027,459281214701,PUNB0357392,active,2026-05-31,email_request,unverified,,0,,False
VEND0009,503912487953,AXIS0398759,active,2025-09-08,email_request,callback,2025-09-09,2,2026-05-16,False
VEND0105,829571384504,ICIC0250862,active,2024-02-10,email_request,callback,2024-02-11,10,2026-03-07,False
VEND0053,589572267156,SBIN0597242,active,2026-05-19,email_request,unverified,,0,,False
VEND0055,962845950622,ICIC0632523,active,2026-05-16,email_request,unverified,,0,,False
VEND0040,299389262480,HDFC0622096,active,2026-05-16,email_request,unverified,,0,,False
VEND0052,427780280133,PUNB0772228,active,2026-05-22,email_request,unverified,,0,,False
VEND0105,871793192766,PUNB0994516,active,2026-06-08,email_request,unverified,,0,,False
VEND0088,948102232462,ICIC0447928,active,2026-05-20,email_request,unverified,,0,,False
VEND0059,628589326884,PUNB0359968,active,2026-05-17,email_request,unverified,,0,,False
VEND0064,443837427244,ICIC0202022,active,2026-05-16,email_request,unverified,,0,,False
VEND0117,031384324114,SBIN0361963,active,2026-06-18,email_request,unverified,,0,,False
VEND0080,878955964002,PUNB0300975,active,2023-07-06,email_request,callback,2023-07-07,12,2026-05-22,False
VEND0097,019293753643,SBIN0749736,active,2026-05-31,email_request,unverified,,0,,False
VEND0023,874658400639,UTIB0327886,active,2023-08-31,email_request,callback,2023-09-01,11,2026-03-08,False
VEND0001,554117182368,AXIS0026937,active,2025-01-23,email_request,callback,2025-01-24,5,2026-04-06,False
VEND0082,166580344775,ICIC0602739,active,2023-12-23,email_request,callback,2023-12-24,3,2026-01-02,False
VEND0038,972743900390,HDFC0657700,active,2025-05-27,email_request,callback,2025-05-28,5,2026-03-05,False
VEND0005,783650014317,SBIN0107680,active,2026-05-21,email_request,unverified,,0,,False
